Pong-chi Yuen	22.337943	114.181587
N. E. O'Connor	53.3853811	-6.2588538
Lei Zhang	39.904211	116.407395
Chengke Wu	34.2275457	108.9181783
Olivier Pauplin	51.454513	-2.58791
Edoardo Otranto	40.7245216	8.5608359
Valentin Todorov	48.2081743	16.3738189
Guang Yong Zou	43.0010299	-81.2769422
W.-K. Fung	22.2783151	114.174695
Juan R. Gonzalez	41.3812657	2.1935088
Edsel A. Peña	41.3759532	-83.6396573
Pedro Delicado	41.387445	2.1107846
Nizar Bouguila	45.3789013	-71.9278324
Xingqiu Zhao	22.3055658	114.1887233
J. López-Fidalgo	40.9701039	-5.6635397
Arturo J. Fernández	28.4874009	-16.3159061
Woojoo Lee	34.0205798	-118.2813455
Ancha Xu	31.0399611	121.4643453
Yincai Tang	31.0399611	121.4643453
Ying Yang	44.476765	-73.201539
Keunbaik Lee	29.9595769	-90.0770127
Donald Mercante	29.9595769	-90.0770127
Ying-Chao Hung	24.968847	121.19551
Tzung-Pei Hong	22.6350591	120.3355193
Ching-Yao Wang	24.8138287	120.9674798
M. Muthu Rama Krishnan	22.3179195	87.3106498
Shuvo Banerjee	22.3200212	87.3112907
Chinmay Chakraborty	22.34601	87.2319753
Chandan Chakraborty	22.3200907	87.3107609
A. K. Ray	22.3209591	87.3099394
Nan-Chen Hsieh	43.1225229	-77.6665722
Hsiang-Yang Chen	23.702951	120.54454
Patricia E. N. Lutu	-25.7553002	28.226565
Song-He Feng	39.9357171	116.3259548
Yung-Tsung Hou	22.625005	120.265922
Yimeng Chang	40.4432289	-79.9441368
Bettina Berendt	52.4321218	13.5333041
Beate Krause	51.3127114	9.4797461
Lili Tian	39.904211	116.407395
Masayuki Hirukawa	41.934827	-88.750032
Fukang Zhu	43.8366158	125.2893212
Dehui Wang	43.8366158	125.2893212
Ngai-Hang Chan	22.3374868	114.1720025
Thomas C. M. Lee	40.5747751	-105.0807072
Mong-Na Lo Huang	43.1225229	-77.6665722
Chuan-Pin Lee	43.1225229	-77.6665722
Ray-Bing Chen	43.1225229	-77.6665722
Thomas Klein	48.3345707	10.8951382
Graciela Boente	-34.5433083	-58.4461823
Geert Molenberghs	50.91083	5.41336
J. V. K. Rombouts	45.5031658	-73.6218278
J. C. Spall	39.0992752	-76.8483061
Roger G. Ghanem	42.9503081	-78.8188037
Qingchu Xiao	28.201149	112.8896156
Xuewen Lu	51.076359	-114.12871
Dunlei Cheng	32.8225166	-96.7761686
Adam J. Branscum	38.0328237	-84.5067424
James Stamey	31.60323	-94.65507
S. Boudaoud	49.417816	2.826145
Eufrásio de A. Lima Neto	-7.1372238	-34.8452135
Francisco de A. T. de Carvalho	-8.0578381	-34.8828969
Alexandre B. Simas	-22.9068467	-43.1728965
S. G. Meintanis	38.2466395	21.734574
Gabriel Frahm	50.9096296	6.9137713
Uwe Jaekel	50.7807511	7.1854151
Guo-Liang Tian	39.2882391	-76.6248094
Kam C. Yuen	22.396428	114.109497
Kai Wang Ng	22.396428	114.109497
Sooyoung Cheon	37.590401	127.035859
Alessio Farcomeni	41.9033594	12.5154259
Eva Boj	41.3943819	2.1131154
Josep Fortiana	41.3896482	2.1659005
Jing-Hao Xue	51.0543422	3.7174243
D. M. Titterington	55.87151	-4.288761
Francesco Archetti	45.4654219	9.1859243
Leonardo Vanneschi	46.5196535	6.6322734
T. Niknam	35.7569204	51.3277804
Babak Amiri	35.7355505	51.5200179
Nor Ashidi Mat-Isa	5.170128	100.4792231
Lale Özbakır	38.720489	35.482597
Adil Baykasoğlu	37.065953	37.37811
Sinem Kulluk	38.720489	35.482597
Juan Moreno-Garcia	39.8628316	-4.0273231
L. Rodriguez-Benitez	38.6460074	-4.0491077
A. Fernandez-Caballero	38.779652	-2.1646722
M. T. Lopez	38.779652	-2.1646722
A. Jamalizadeh	30.2839379	57.0833628
V. Patrangenaru	30.4441409	-84.2901803
Xinyang Liu	30.4431447	-84.2950051
Yehuda Koren	31.892773	34.811272
Geoffrey Webb	-37.8481715	145.1146495
Yeow Wei Choong	4.210484	101.975766
M. Zaki	30.055964	31.3170397
Christopher D. Carothers	33.7784626	-84.3988806
Kemal Polat	37.8746429	32.4931554
T. T. El-Midany	31.0415145	31.3622718
L. D. Xu	35.4232984	136.7606537
Shang-Ming Zhou	51.8768245	0.9531797
Loris Nanni	44.494887	11.3426163
Alessandra Lumini	44.1396438	12.2464292
Yu-Shi Lin	25.0329636	121.5654268
Orlando Durán	-33.0482707	-71.4408752
Nibaldo Rodriguez	-33.047238	-71.6126885
Luiz Airton Consalter	-28.2580547	-52.4096248
K.-L. Chung	43.1225229	-77.6665722
Zeng-Wei Lin	43.1225229	-77.6665722
Shih-Ting Huang	43.1225229	-77.6665722
Jinjun Wang	1.352083	103.819836
Shenghuo Zhu	37.3229978	-122.0321823
Kenji Suzuki	35.7090259	139.7319925
H H S Ip	51.5073509	-0.1277583
André Ricardo Backes	-22.0087082	-47.8909263
Kostas C. Karpouzis	37.9833518	23.7156466
Athanasios Drosopoulos	37.9838096	23.7275388
Stefanos Kollias	37.9838096	23.7275388
Abdelmajid Ben Hamadou	35.5174913	-86.5804473
Hossein Khosravi	35.6891975	51.3889736
E. Kabir	35.6891975	51.3889736
Clovis Tauber	32.1121335	-83.5390002
Hadj Batatia	32.9483335	-96.7298519
Alain Ayache	32.1121335	-83.5390002
Chris Cornelis	51.0543422	3.7174243
Richard Jensen	38.0156511	-84.505177
Germán Hurtado	51.0544384	3.7173297
Dominik lezak	52.2296756	21.0122287
Kweku-Muata Osei-Bryson	37.5407246	-77.4360481
Mohamed Daoudi	50.6232523	3.1442651
Shahram Payandeh	49.2488091	-122.9805104
V. Ramalingam	11.3861733	79.7266669
S. Palanivel	13.0826802	80.2707184
S. Kumar	1.304609	103.79233
Surendra Ranganath	1.352083	103.819836
Fook Tim Chew	1.2960392	103.7723444
Artur Łoza	51.455848	-2.6030754
David R. Bull	51.4771065	-2.6259899
Nishan C. Canagarajah	51.4771065	-2.6259899
Alin Achim	51.455848	-2.6030754
Raymond Phan	43.6578373	-79.3806087
P. A. V. de Miranda	-22.9099384	-47.0626332
Heinz Hugli	46.9899874	6.9292732
Pierre-André Farine	46.9899874	6.9292732
Ugur Güdükbay	39.9333635	32.8597419
Raghuraman Gopalan	42.357952	-83.3598106
Vilem Vychodil	49.594447	17.2134676
Christian Borgelt	52.1205333	11.6276237
P Hajek	50.0755381	14.4378005
Martin Holeňa	50.0755381	14.4378005
Johannes Fürnkranz	48.2081743	16.3738189
Karam Gouda	30.5857699	31.4846023
Simone Frintrop	50.7484152	7.2231828
Erich Rome	50.7484152	7.2231828
Y. Chen	51.5073509	-0.1277583
Quannan Li	39.9806034	116.3100912
W. Y. Ma	37.4418834	-122.1430195
S. Greco	39.3317751	16.1839028
Michal Rosen-Zvi	33.664081	-117.853022
Chaitanya Chemudugunta	33.6517695	-117.8317362
Thomas Griffiths	37.413349	-122.1708056
Mark Steyvers	33.664081	-117.853022
Ming-Lun Chen	24.23944	120.560195
Shashi B. Mehta	28.7505846	77.1419808
S. Chaudhury	28.5429676	77.193806
Motoaki Kawanabe	52.4370179	13.5470509
K.-L Du	45.4969874	-73.5788077
Sebastian Montabone	-33.5035972	-70.7577439
Youngrae Kim	37.566535	126.9779692
Eun Yi Kim	37.540389	127.069236
W Pedrycz	50.2890399	18.67624
Julián Luengo	36.9879139	-3.5663073
F. Herrera	36.9879139	-3.5663073
Gonzalo Bailador	40.4167754	-3.7037902
Du-Ming Tsai	43.1225229	-77.6665722
Y. Y. Gao	39.904211	116.407395
Qionghai Dai	39.9990443	116.3246671
Naiyao Zhang	39.9990443	116.3246671
Norman Poh	51.2425719	-0.5879459
Thirimachos Bourlai	51.2423009	-0.5904827
J Kittler	51.7612056	-1.2464674
Juan C. Cuevas-Tello	52.486243	-1.890401
Peter Tiňo	48.1485965	17.1077477
Somak Raychaudhury	52.45126	-1.93668
Markus Harva	60.2054911	24.6559001
Kevan Buckley	52.5872011	-2.1274422
Spiros Nikolopoulos	40.6400629	22.9444191
Stefanos Zafeiriou	40.6400629	22.9444191
N. Nikolaidis	40.6400629	22.9444191
I Pitas	40.6400629	22.9444191
Miguel Arevalillo-Herráez	39.5096699	-0.4135963
Francesc J. Ferri	39.5096699	-0.4135963
J. C. Burie	33.6213041	-117.8381213
Yi Wu	40.4432289	-79.9441368
Adilson Xavier	-22.8626877	-43.2258954
Wenchao Cai	22.2917485	114.2715461
Simone Bianco	45.4654219	9.1859243
G. Ciocca	45.4654219	9.1859243
R. Schettini	45.4837923	9.2266339
Duoqian Miao	31.2675598	121.2180046
Ruizhi Wang	39.9946321	116.304625
K. S. Choi	22.417442	114.203926
Fu Lai Chung	22.302516	114.178928
S. T. Wang	31.49117	120.31191
Luis F. Lago-Fernández	40.4167754	-3.7037902
Fernando J. Corbacho	34.0205798	-118.2813455
Radha Chitta	13.015088	77.570946
Maurizio Filippone	44.3972703	8.9714623
Guido Sanguinetti	53.3813304	-1.4807105
C. Chatelain	49.4596468	1.0638875
Sébastien Adam	49.443232	1.099971
F. Mai	22.3374868	114.1720025
Y. S. Hung	22.396428	114.109497
Graziano Chesi	43.318809	11.3307574
Zoltán Kato	46.2530102	20.1414253
Balázs Kégl	44.2267439	-76.4968983
D. Huang	-27.4697707	153.0251235
Huan Xu	45.5367573	-73.1577849
Selene Hernández-Rodríguez	19.0412967	-98.2061996
J. Fco. Martínez-Trinidad	19.0318871	-98.3129504
J. Ariel Carrasco-Ochoa	19.0318871	-98.3129504
Federico M. Sukno	41.3850639	2.1734035
T. D. Pham	-35.2809368	149.1300092
D. R. Lowne	51.7584303	-1.2566456
Duck Hoon Kim	37.566535	126.9779692
Prasenjit Dey	12.9715987	77.5945627
S. Noushath	12.314831	76.6210539
Marios Kyperountas	40.6400629	22.9444191
Anastasios Tefas	40.6400629	22.9444191
Aditya Abhyankar	41.498587	-81.5780284
Stephanie Schuckers	40.0644051	-80.7201367
Arun Passi	28.5429676	77.193806
Javier Galbally	40.5474828	-3.6983491
Julian Fierrez	40.525069	-3.6927531
Sébastien Marcel	48.732084	-3.459144
Javier Ortega-Garcia	40.4167754	-3.7037902
Wen-Kwang Tsao	43.1225229	-77.6665722
Anthony J. T. Lee	43.1225229	-77.6665722
Ying Liu	24.880095	102.832892
Ting-Wei Chang	25.176574	121.456542
Hsiu-Hui Lin	43.1225229	-77.6665722
Manhua Liu	35.9131996	-79.0558445
Z. Barzily	38.8859974	-77.0326981
Jing-Yu Yang	32.0293477	118.8561406
Kwanho Kim	36.3504119	127.3845475
Hoi-Jun Yoo	37.566535	126.9779692
Cristian Gatu	46.9899874	6.9292732
Jan Bulla	51.5345284	9.9342312
Oleg Nenadić	51.542007	9.9357571
J. Carlos Escanciano	42.5227612	-2.0567163
María Teresa Gallegos	48.5667364	13.4319466
Gunter Ritter	48.5667364	13.4319466
Justin Harrington	49.2583387	-123.252753
Matias Salibian-Barrera	49.2662068	-123.2539692
Kam-Wah Tsui	43.1054334	-89.4269287
J. Marín	40.506934	-3.3458886
P. D. McNicholas	43.529442	-80.225481
Jacques Poitevineau	48.8499396	2.2920049
Chandan K. Reddy	42.3168342	-83.0965906
Bala Rajaratnam	33.6493781	-117.8357356
Guijun Yang	39.904211	116.407395
Zhigang Wang	31.19884	121.432567
Recai Murat Yucel	42.6425794	-73.742898
Hakan Demirtas	41.8686236	-87.6676006
Reda Sleiman Alhajj	24.6784114	46.6970977
M. Elangovan	11.0168445	76.9558321
V. Sugumaran	11.0168445	76.9558321
Pei-Chiao Huang	43.1225229	-77.6665722
Qinrong Feng	31.2675598	121.2180046
Shih-Wei Lin	43.1225229	-77.6665722
Yong Soo Kim	36.3504119	127.3845475
Li-Huei Tseng	43.1225229	-77.6665722
Jia-Ling Zhou	43.1225229	-77.6665722
Dongxiao Niu	38.876558	115.5050974
Desheng Dash Wu	43.6578928	-79.4052069
Juan J. Rodríguez	42.3439925	-3.696906
César García-Osorio	42.3439925	-3.696906
Jesús Maudes	42.3691152	-3.6876803
Carlos G. Vallejo	37.3541523	-5.9885456
José A. Troyano	37.3550756	-5.9472802
F. Javier Ortega	37.3550756	-5.9472802
Khalid M. Hosny	30.5765383	31.5040656
YanNing Zhang	34.2413672	108.9168656
Wael Khreich	45.5016889	-73.567256
Ali Miri	45.4248599	-75.6828
Huimin Qian	39.2496668	-76.7154639
Stuart Heinrich	35.7850545	-78.6819449
Erik Arisholm	59.9138688	10.7522454
L. C. Briand	38.9784157	-76.9282872
Eivind B. Johannessen	59.9138688	10.7522454
Frederic Stahl	55.1467943	-6.6724697
Werner Dubitzky	55.1511857	-6.6748021
H. Zhang	40.4533683	-87.0541793
B. S. Li	36.6538169	116.9003241
Yoones Asgharzadeh Sekhavat	35.7507718	51.5129624
Mohammad Fathian	35.7355505	51.5200179
M. R. Gholamian	35.6891975	51.3889736
Somayeh Alizadeh	35.6891975	51.3889736
N. R. Sakthivel	10.9127276	76.9297354
Binoy B. Nair	10.9127276	76.9297354
William Tafel Freeman	42.3591	-71.0934
David M. Blei	37.8805941	-122.2447958
J. Denzinger	49.4400657	7.7491265
Guohai Liu	32.2035777	119.5157334
Haixia Xu	27.8775041	112.8625154
Wen-Tsann Lin	24.143133	120.733566
Shen-Tsu Wang	43.1225229	-77.6665722
Ta-Cheng Chiang	43.1225229	-77.6665722
Yu-xin Shi	43.1225229	-77.6665722
Wei-yu Chen	43.1225229	-77.6665722
H. M. Chen	1.352083	103.819836
Vincent Tseng	23.702951	120.54454
Dae-Ki Kang	42.0277899	-93.6396252
Ai-bing Ji	38.8700382	115.5180176
Bhekisipho Twala	51.5328782	-0.4728634
J. J. Tsay	40.4533683	-87.0541793
Chi-Hsiang Lin	43.1225229	-77.6665722
Tzung-Bang Chen	23.4518428	120.2554615
Jen-Peng Huang	35.1958257	-97.4447525
Bai-En Shie	43.1225229	-77.6665722
Chun-Yi Sung	22.642089	120.595764
Fraņois Laviolette	46.776635	-71.270671
Mohak Shah	41.8781136	-87.6297982
Isaac Martín Diego	40.3351225	-3.8721822
Alberto Munoz	37.4418834	-122.1430195
Javier M. Moguerza	40.3351225	-3.8721822
Daan Fierens	50.8798438	4.7005176
Jan Ramon	50.8630778	4.6738806
Hendrik Blockeel	50.8759566	4.7004882
M. Bruynooghe	48.523809	7.737995
José L. Balcázar	41.3850639	2.1734035
Albert Bifet	41.9642405	2.8301716
A. Lozano	41.3850639	2.1734035
Charles Dugas	45.5031602	-73.616467
Tsuyoshi IDÉ	35.6894875	139.6917064
Jens Lehmann	51.3396955	12.3730747
Pascal Hitzler	51.0504088	13.7372621
Emmanuel Prados	33.6508393	-117.853345
Alessandro Giusti	45.4723514	9.1964401
A. Gijsenij	52.3561962	4.9470315
Th. Gevers	52.3561962	4.9470315
Joost Weijer	55.7046601	13.1910073
Peter C. Barnum	40.4432289	-79.9441368
T Kanade	40.4432289	-79.9441368
Cui Chi	39.9990443	116.3246671
Hyunjin Yoo	35.1595454	126.8526012
Kenji Hara	8.4944302	76.9473164
Wen-Yan Lin	1.2936452	103.7749621
Geok-Choo Tan	1.3442364	103.6861052
LoongFah Cheong	1.2960392	103.7723444
Vladimir Katkovnik	35.1595454	126.8526012
K. Egiazarian	61.4977524	23.7609535
Jaakko Astola	61.4977524	23.7609535
S W Zucker	45.5031602	-73.616467
B C Vemuri	30.2850284	-97.7335226
Anand Rangarajan	12.929113	77.682955
Stephan J. Eisenschenk	29.6582444	-82.3380832
Jan Flusser	50.0755381	14.4378005
Mario Boley	50.7484152	7.2231828
T. Horváth	50.8759566	4.7004882
Jesús Pardillo	38.3459963	-0.4906855
Jose-Norberto Mazon	38.38403	-0.528309
J. Trujillo	38.3459963	-0.4906855
Yi Guo	28.585792	-81.208892
Zhiqing Shao	31.1346259	121.424947
Shihong Yue	39.060731	117.2951199
Teresa Wu	33.4205343	-111.9339825
Stefan Strohmeier	49.2489232	7.017559
Franca Piazza	49.2489232	7.017559
Siome Goldenstein	-22.9099384	-47.0626332
Vali Derhami	31.8974232	54.3568562
Vahid Johari Majd	35.6891975	51.3889736
Majid Nili Ahmadabadi	35.7048679	51.4000833
M. Rusinol	41.5037176	2.0864011
Agnés Borrís	41.5037176	2.0864011
Raúl Cruz-Barbosa	17.8058165	-97.7783462
Elizabeth Tapia	-32.9442426	-60.6505388
P. Bulacio	-32.9442426	-60.6505388
L. Angelone	-32.9442426	-60.6505388
Shoudong Han	30.593099	114.305393
Wen-Bing Tao	30.5282346	114.4276539
X.-C. Tai	60.3882249	5.3185835
Tian-Jiang Wang	30.5282346	114.4276539
Yumin Chen	30.5259496	114.3625091
Xiao Fan	39.8929871	116.4737292
Yanfeng Sun	39.9760312	116.2949624
Xiuming Guo	39.9532468	116.2806848
Marco Better	40.0149856	-105.2705456
Fred Glover	40.0071656	-105.2627072
Michele Samorani	40.0103247	-105.2889726
Dan Zhu	28.2193841	113.0002914
David Wilkinson	52.5872011	-2.1274422
Sukhvinder Uppal	52.5872011	-2.1274422
Christopher Moretti	41.6973401	-86.2377772
Karen Hollingsworth	41.6973401	-86.2377772
Brandon Rich	41.6973401	-86.2377772
P. J. Flynn	39.9993865	-83.0227103
Douglas Thain	43.0765915	-89.4052247
Holger Theisel	49.2586569	7.0504098
H. P. Seidel	48.1747666	9.3923503
Ke Zhou	30.513114	114.420041
Xue Gui-Rong	31.19884	121.432567
Wu-Jun Li	32.0569463	118.7809448
Dit-Yan Yeung	22.338593	114.262015
Edward Rosten	52.2016671	0.1177882
Sergio Escalera	41.5037176	2.0864011
Oriol Pujol	41.5037176	2.0864011
Daniel Mirota	39.3272601	-76.6003432
Greg Hager	41.308274	-72.9278835
John Hershey	40.7570789	-73.9724058
Ondrej Chum	50.0755381	14.4378005
Rui Min	32.060255	118.796877
José Antonio Martín H.	40.4167754	-3.7037902
Javier de Lope	40.4124967	-3.8706208
Ning-Zhong Shi	43.8599661	125.3280439
Hua Liang	29.56301	106.551556
You-Gan Wang	-27.5116137	152.9963993
Z D Bai	40.4489024	-79.944741
Paul Thompson	50.3752006	-4.1383638
Rana Moyeed	50.3752006	-4.1383638
Dominic Reeve	50.3752006	-4.1383638
Julian Stander	50.3752006	-4.1383638
N. T. Longford	52.62053	-1.1102922
Damien Garcia	45.5016889	-73.567256
Andreas Ziegler	53.8654673	10.6865593
Dayna P. Saldaña-Zepeda	19.2637485	-103.7361573
Humberto Vaquera-Huerta	19.4542924	-98.9092446
Barry C. Arnold	34.0138733	-117.3310404
M. Schyns	50.6350757	5.5628874
Pierre Duchesne	45.50232	-73.5436479
Gauss M. Cordeiro	-8.8137173	-36.954107
Rodrigo R. Pescim	-22.7342864	-47.6480644
Clarice G. B. Demétrio	-22.7342864	-47.6480644
Edwin M. M. Ortega	-23.5505199	-46.6333094
Mariana R. Urbano	-22.7342864	-47.6480644
Li-Ping Zhu	22.3354512	114.1829159
Zhou Yu	31.230416	121.473701
Esmeralda A. Ramalho	38.571431	-7.913502
Joaquim J. S. Ramalho	38.571431	-7.913502
Vivian Lanius	52.5722117	13.4115085
Ursula Gather	41.1362185	-81.4828198
Elizabeth M. Hashimoto	-22.7342864	-47.6480644
Vicente G. Cancho	-22.0087082	-47.8909263
Shao-Lun Lee	43.1225229	-77.6665722
Jin-Mao Wei	43.8627561	125.3334944
Qing Hu	30.3135522	-81.6004765
Shu-Qin Wang	39.9532914	116.3060482
Marco Antoniotti	35.7967287	-86.4125492
Marco Carreras	45.4654219	9.1859243
Farinaccio Antonella	45.4654219	9.1859243
Italo Zoppis	45.4654219	9.1859243
A. de Carvalho	-22.0087082	-47.8909263
Cornelia Caragea	42.0277899	-93.6396252
Drena Dobbs	42.0277899	-93.6396252
Vasant G. Honavar	42.0277899	-93.6396252
Jia Song	30.2919691	120.1638917
Chunmei Liu	42.3591	-71.0934
Yinglei Song	33.9566656	-83.375192
Andrew V. Kossenkov	39.95121	-75.1959588
Min Li	43.0765915	-89.4052247
Zhao Cai	28.1402481	112.9891451
Xiajiong Shen	46.8624181	-113.9836203
Maria-Florina Balcan	40.4432289	-79.9441368
Herbert Pang	36.0018986	-78.9402817
Andreas Knoblauch	48.411266	9.94893
Günther Palm	48.4226264	9.9488069
Eiji Uchibe	34.6937378	135.5021651
Junichiro Yoshimoto	34.6850869	135.8050002
K. Doya	35.6603156	139.3188293
Filip Ponulak	47.9990077	7.8421043
A. Kasiński	52.406374	16.9251681
Joseph F. Murray	32.8435671	-117.2409404
Viren Jain	42.3591	-71.0934
Moritz Helmstaedter	49.3987524	8.6724335
Kevin Briggman	38.999265	-77.098411
Winfried Denk	49.3987524	8.6724335
JingBo Ni	43.529442	-80.225481
Pascal Matsakis	43.5609901	1.4630574
M. Ferrer	39.4699075	-0.3762881
E. Valveny	41.5028528	2.1025104
Kaspar Riesen	46.9479739	7.4474468
Carlos Ricolfe-Viala	39.4988831	-0.3395407
Antonio-Jose Sanchez-Salmeron	39.4988831	-0.3395407
Rafel Medina-Carnicer	38.1382192	-5.2057909
Marte A. Ramírez-Ortegón	52.4532523	13.2885484
Ernesto Tapia	52.5200066	13.404954
Lilia L. Ramírez-Ramírez	43.4715646	-80.5431505
Raúl Rojas	52.4197674	8.9157298
Erik Cuevas	20.6992217	-103.3492584
Anbang Yao	39.904211	116.407395
Xiujuan Chai	45.7473103	126.6329723
D. L. Chu	1.297332	103.7799067
Goh Siong Thye	1.297332	103.7799067
P. L. Lin	43.1225229	-77.6665722
Y. H. Lai	22.3771304	114.1974398
P. W. Huang	43.1225229	-77.6665722
Maria L. Rizzo	39.324866	-82.102462
Honggang Wang	37.873499	112.562678
Kimberly Andrews Espy	40.818253	-96.6952254
Z.-Y. Wang	41.2453849	-96.01896
Francesco Orabona	44.4056499	8.946256
Claudio Castellini	44.4017564	8.960564
Barbara Caputo	59.4053774	17.9446746
Giulio Sandini	44.4056499	8.946256
Hung-Ming Sun	43.1225229	-77.6665722
Riadh Ksantini	45.4009928	-71.8824288
B. Boufama	42.3168908	-83.0382508
Djemel Ziou	45.3816115	-71.9272467
Bernard Colin	45.4009928	-71.8824288
Saeed Dabbaghchian	38.096239	46.2738013
Masoumeh P. Ghaemmaghami	35.6891975	51.3889736
A. Aghagolzadeh	38.0540346	46.3644665
Manuel Mucientes	42.8782132	-8.5448445
A. Bugarín	42.8782132	-8.5448445
Jian Yang	39.904211	116.407395
Matej Perše	46.0569465	14.5057515
Matej Kristan	46.0569465	14.5057515
Janez Pers	46.0569465	14.5057515
G. Mušič	46.0569465	14.5057515
Goran Vučkovič	46.0569465	14.5057515
Indriyati Atmosukarto	45.7399332	7.4674717
Katarzyna Wilamowska	47.6498128	-122.3037817
Carrie Heike	47.6498128	-122.3037817
Linda G Shapiro	47.661282	-122.3131454
Wen-Hsiung Lin	25.0329636	121.5654268
Leticia Rittner	-22.9099384	-47.0626332
R. A. Lotufo	-22.8127125	-47.0675404
Carlos Santos	38.7325997	-9.1603293
N. S. T. Hirata	-23.5634327	-46.7159511
Maria E. Buemi	-34.6036844	-58.3815591
Julio Jacobo	-34.5101473	-58.6864035
Marta Mejail	-34.5101473	-58.6864035
Hemerson Pistori	-20.4697105	-54.6201211
Valguima Victoria Viana Aguiar Odakura	-22.223561	-54.8125486
João Bosco Oliveira Monteiro	-20.4697105	-54.6201211
Antonia Railda Roel	-20.4697105	-54.6201211
Jonathan de Andrade Silva	-23.5624196	-46.6911948
Bruno Brandoli Machado	-23.5624196	-46.6911948
Stefanos K. Goumas	40.937607	24.412866
Ioannis Dimou	35.240117	24.8092691
M. Zervakis	35.5138298	24.0180367
Chunyu Gao	40.1093094	-88.2283887
Hong Hua	21.3069444	-157.8583333
Narendra Ahuja	43.1225229	-77.6665722
Yi Yao	42.8000049	-73.8914407
D. L. Page	35.9398478	-83.9432552
Besma Abidi	35.9578144	-83.9244563
Andreas Koschan	35.9398478	-83.9432552
Mongi A. Abidi	35.9398478	-83.9432552
Etienne Grossmann	38.0156511	-84.505177
Suresh Lodha	29.7811017	-95.7403296
John Mallon	53.3853811	-6.2588538
Zuzana Kukelova	50.0755381	14.4378005
Tomáš Pajdla	50.0755381	14.4378005
InSo Kweon	40.4406248	-79.9958864
Damien Michel	35.240117	24.8092691
Manos Tsagkias	52.3561962	4.9470315
Maarten de Rijke	52.3561962	4.9470315
Andrea Romei	43.7199949	10.4073628
Franco Turini	43.7166613	10.3988602
Keke Chen	39.758818	-84.1439147
Chris H. Q. Ding	37.8764984	-122.2804342
Masahiro Kimura	35.6689735	139.4776614
H. Motoda	35.7103347	139.4631912
Gianni Costa	39.3524594	16.2218533
G. Manco	39.3317751	16.1839028
Riccardo Ortale	39.3317751	16.1839028
Kiri Wagstaff	42.4439614	-76.5018807
Yogesh Singh	41.9027835	12.4963655
A. Kaur	28.7080395	77.2110547
Ruchika Malhotra	28.665311	77.230073
Bo Huang	45.74239	126.6338336
Chenglin Xie	51.1025702	-114.0351662
Richard Tay	51.076359	-114.12871
Shih-Chuan Chiu	24.792678	121.002403
Rui Li	40.1155343	-88.183342
T. Tian	42.3518484	-71.1107301
Stanley E. Scharoff	42.3591	-71.0934
Cristian Sminchisescu	43.666663	-79.4023299
Stefano Corazza	37.413349	-122.1708056
Lars Mündermann	51.076359	-114.12871
